start_lat,start_long,end_lat,end_long,ride_count
40.70971,-73.96564000000001,40.70987,-73.96696999999999,45.0
40.685759999999995,-73.94149,40.6865,-73.94164,46.0
40.69382,-73.9431,40.694559999999996,-73.94324,46.0
40.7104,-73.95889,40.71078,-73.95994,46.0
40.68145,-73.94644,40.68177,-73.9436,46.0
40.68723,-73.94179,40.68796,-73.94193,46.0
40.682829999999996,-73.94091,40.68357,-73.94106,46.0
40.69017,-73.94237,40.69089,-73.94252,46.0
40.69236,-73.94281,40.693090000000005,-73.94295,46.0
40.693090000000005,-73.94295,40.69382,-73.9431,46.0
40.6821,-73.94076,40.682829999999996,-73.94091,46.0
40.6843,-73.9412,40.68504,-73.94134,46.0
40.68796,-73.94193,40.6887,-73.94207,46.0
40.68177,-73.9436,40.6821,-73.94076,46.0
40.68504,-73.94134,40.685759999999995,-73.94149,46.0
40.69089,-73.94252,40.69162,-73.94266,46.0
40.68298,-73.9737,40.68314,-73.97379000000001,46.0
40.69162,-73.94266,40.69236,-73.94281,46.0
40.71033,-73.95868,40.7104,-73.95889,46.0
40.6887,-73.94207,40.68943,-73.94223000000001,46.0
40.68357,-73.94106,40.6843,-73.9412,46.0
40.71035,-73.95836,40.71033,-73.95868,46.0
40.6865,-73.94164,40.68723,-73.94179,46.0
40.68943,-73.94223000000001,40.69017,-73.94237,46.0
40.686170000000004,-73.97046999999999,40.68459,-73.97015,47.0
40.68956,-73.97114,40.68764,-73.97076,47.0
40.68764,-73.97076,40.686170000000004,-73.97046999999999,47.0
40.724340000000005,-73.9935,40.72448,-73.99346,54.0
40.72185,-73.97734,40.72285,-73.97973,54.0
40.72268,-73.99418,40.724340000000005,-73.9935,54.0
40.72448,-73.99346,40.72542,-73.99304000000001,54.0
40.76905,-73.99049000000001,40.76845,-73.98904,56.0
40.76911,-73.99063000000001,40.76905,-73.99049000000001,56.0
40.76964,-73.99191,40.76911,-73.99063000000001,56.0
40.683409999999995,-73.982,40.68405,-73.98156,57.0
40.68405,-73.98156,40.68469,-73.98113000000001,57.0
40.707,-73.96727,40.707240000000006,-73.96593,59.0
40.716409999999996,-73.98056,40.7159,-73.98088,59.0
40.68765,-73.98013,40.68739,-73.97994,59.0
40.70745,-73.96486999999999,40.70753,-73.96443000000001,59.0
40.708009999999994,-73.96433,40.70855,-73.96423,59.0
40.68868,-73.98089,40.68765,-73.98013,59.0
40.70753,-73.96443000000001,40.708009999999994,-73.96433,59.0
40.68895,-73.98108,40.68868,-73.98089,59.0
40.68544,-73.94433000000001,40.684709999999995,-73.94418,60.0
40.682179999999995,-73.94658000000001,40.68181,-73.94986,60.0
40.684709999999995,-73.94418,40.68397,-73.94404,60.0
40.686170000000004,-73.94448,40.68544,-73.94433000000001,60.0
40.68251,-73.94374,40.682179999999995,-73.94658000000001,60.0
40.68181,-73.94986,40.68164,-73.95133,60.0
40.68397,-73.94404,40.683240000000005,-73.94389,60.0
40.683240000000005,-73.94389,40.68251,-73.94374,60.0
40.68437,-73.97829,40.684020000000004,-73.97849000000001,61.0
40.684020000000004,-73.97849000000001,40.683859999999996,-73.97859,61.0
40.683859999999996,-73.97859,40.68372,-73.97868000000001,61.0
40.75207,-73.97348000000001,40.75111,-73.97123,63.0
40.69334,-73.96589,40.69187,-73.9656,63.0
40.687529999999995,-73.9775,40.68788,-73.97836,64.0
40.68718,-73.9766,40.687529999999995,-73.9775,64.0
40.68522,-73.95926999999999,40.68553,-73.95655,64.0
40.68704,-73.97626,40.68718,-73.9766,64.0
40.75535,-73.97542,40.7548,-73.97583,66.0
40.7548,-73.97583,40.754709999999996,-73.9759,66.0
40.73048,-73.976,40.73063,-73.97596999999999,67.0
40.73015,-73.97573,40.73019,-73.97581,67.0
40.73019,-73.97581,40.73024,-73.97587,67.0
40.73044,-73.97601,40.73048,-73.976,67.0
40.730309999999996,-73.97593,40.7304,-73.976,67.0
40.73024,-73.97587,40.730309999999996,-73.97593,67.0
40.72975,-73.97471999999999,40.7298,-73.97485999999999,67.0
40.7298,-73.97485999999999,40.73015,-73.97573,67.0
40.73072,-73.97609,40.731320000000004,-73.97712,67.0
40.7304,-73.976,40.73044,-73.97601,67.0
40.73063,-73.97596999999999,40.73072,-73.97609,67.0
40.69989,-73.9847,40.6999,-73.98478,69.0
40.69984,-73.98293000000001,40.69985,-73.984,69.0
40.70016,-73.98666999999999,40.70015,-73.98668,69.0
40.7,-73.98534000000001,40.70003,-73.98544,69.0
40.70021,-73.98605,40.70022,-73.98615,69.0
40.70021,-73.98640999999999,40.70021,-73.98647,69.0
40.69997,-73.98519,40.7,-73.98534000000001,69.0
40.70022,-73.98615,40.70022,-73.98626,69.0
40.70022,-73.98626,40.70021,-73.98640999999999,69.0
40.7002,-73.98654,40.70019,-73.98655,69.0
40.70021,-73.98649,40.7002,-73.98653,69.0
40.7002,-73.98598,40.70021,-73.98605,69.0
40.7002,-73.98653,40.7002,-73.98654,69.0
40.69989,-73.98465999999999,40.69989,-73.9847,69.0
40.69985,-73.98424,40.699870000000004,-73.98451999999999,69.0
40.69985,-73.984,40.69985,-73.98424,69.0
40.70019,-73.98655,40.70019,-73.98657,69.0
40.70016,-73.98666,40.70016,-73.98666999999999,69.0
40.70019,-73.98657,40.70016,-73.98666,69.0
40.70016,-73.98581,40.700179999999996,-73.98589,69.0
40.699870000000004,-73.98451999999999,40.69989,-73.98464,69.0
40.70021,-73.98647,40.70021,-73.98649,69.0
40.69989,-73.98464,40.69989,-73.98465999999999,69.0
40.700179999999996,-73.98589,40.7002,-73.98598,69.0
40.6999,-73.98478,40.699909999999996,-73.98482,69.0
40.700109999999995,-73.98685,40.7001,-73.9869,69.0
40.700109999999995,-73.98684,40.700109999999995,-73.98685,69.0
40.700109999999995,-73.98683,40.700109999999995,-73.98684,69.0
40.70012,-73.98678000000001,40.700109999999995,-73.98683,69.0
40.699940000000005,-73.98504,40.69997,-73.98519,69.0
40.70013,-73.98676999999999,40.70012,-73.98678000000001,69.0
40.70015,-73.98668,40.70013,-73.98676,69.0
40.699909999999996,-73.98482,40.699909999999996,-73.98483,69.0
40.699909999999996,-73.98483,40.699909999999996,-73.98484,69.0
40.70013,-73.98676,40.70013,-73.98676999999999,69.0
40.699909999999996,-73.98484,40.699909999999996,-73.98488,69.0
40.699909999999996,-73.98488,40.699940000000005,-73.98504,69.0
40.70003,-73.98544,40.70009,-73.9856,69.0
40.700140000000005,-73.98574,40.70016,-73.98581,69.0
40.70009,-73.9856,40.700140000000005,-73.98574,69.0
40.7643,-73.973,40.76365,-73.97346,70.0
40.7075,-73.96619,40.70749,-73.96611,71.0
40.70763,-73.96738,40.70751,-73.96629,71.0
40.70772,-73.96818,40.70763,-73.96738,71.0
40.70775,-73.9684,40.70772,-73.96818,71.0
40.70749,-73.96608,40.7075,-73.96604,71.0
40.70749,-73.96611,40.70749,-73.96608,71.0
40.70751,-73.96629,40.7075,-73.96619,71.0
40.6922,-73.98628000000001,40.69291,-73.98623,72.0
40.68795,-73.9814,40.68734,-73.98181,73.0
40.74439,-74.0085,40.744040000000005,-74.00858000000001,74.0
40.74456,-74.00848,40.74439,-74.0085,74.0
40.74473,-74.00846,40.74456,-74.00848,74.0
40.74527,-74.00835,40.74473,-74.00846,74.0
40.744040000000005,-74.00858000000001,40.74391,-74.00862,74.0
40.74391,-74.00862,40.7437,-74.00865999999999,74.0
40.7437,-74.00865999999999,40.74343,-74.00872,74.0
40.73595,-73.97479,40.735929999999996,-73.97516,74.0
40.72361,-74.00483,40.72371,-74.00589000000001,75.0
40.72371,-74.00589000000001,40.72379,-74.00614,75.0
40.723279999999995,-74.003,40.72343,-74.00385,75.0
40.686170000000004,-73.94448,40.68585,-73.94731,76.0
40.68603,-73.9788,40.686690000000006,-73.97929,80.0
40.68575,-73.97861,40.68603,-73.9788,80.0
40.68502,-73.97808,40.68575,-73.97861,80.0
40.68496,-73.97804000000001,40.68502,-73.97808,80.0
40.684129999999996,-73.96859,40.68411,-73.96863,80.0
40.687020000000004,-73.97952,40.687090000000005,-73.97958,80.0
40.68417,-73.96843,40.68415,-73.9685,80.0
40.687090000000005,-73.97958,40.68735,-73.97977,80.0
40.68735,-73.97977,40.68739,-73.97994,80.0
40.68415,-73.9685,40.68414,-73.96854,80.0
40.68414,-73.96854,40.684129999999996,-73.96859,80.0
40.68411,-73.96863,40.684090000000005,-73.96866,80.0
40.684090000000005,-73.96866,40.684020000000004,-73.96873000000001,80.0
40.6842,-73.96806,40.68417,-73.96843,80.0
40.686690000000006,-73.97929,40.687020000000004,-73.97952,80.0
40.70223,-73.96836,40.70225,-73.96833000000001,81.0
40.70225,-73.96833000000001,40.70235,-73.96822,81.0
40.70235,-73.96822,40.70323,-73.96964,81.0
40.70323,-73.96965,40.70323,-73.96964,81.0
40.70323,-73.96965,40.70324,-73.96967,81.0
40.70029,-73.96852,40.70127,-73.96846,81.0
40.70324,-73.9697,40.70325,-73.96972,81.0
40.69947,-73.9687,40.69986,-73.96868,81.0
40.70027,-73.96853,40.70029,-73.96852,81.0
40.70325,-73.96972,40.70326,-73.96976,81.0
40.70024,-73.96853,40.70027,-73.96853,81.0
