orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7096183,-74.0064883,40.7098694,-74.0070254,cbnwFpkubMq@jB,115
0,40.7098694,-74.0070254,40.7090824,-74.0078237,ucnwF|nubM|C|C,115
0,40.7090824,-74.0078237,40.7068599,-74.0049978,w~mwFzsubMpAiB|AuCz@gBn@u@Z]ZY`AcADGDCXM,115
0,40.7068599,-74.0049978,40.702768,-74.012091,{pmwFfbubMbBjCl@~@bBrCPXhAdBjBvCzAhCPRnAvBbAlBJZF`@h@`DNx@@H@HBH@H@FBH@HBH@B@D@B@H@B@D@B,115
0,40.702768,-74.012091,40.7024346,-74.0128434,iwlwFpnvbMbAtC,115
0,40.7024346,-74.0128434,40.7023898,-74.0129963,eulwFfsvbMFX?D,115
0,40.7023898,-74.0129963,40.7022455,-74.0129748,}tlwFftvbMZE,115
0,40.7022455,-74.0129748,40.7038691,-74.0165059,atlwF`tvbMAHAF@XBfA@X?L?L@J?L?VAH?HCZVh@ZX^\\d@KPA@A@A@A@A@C@UHYPMHGJYd@GHGJA@CBA@GFIREJCD]^k@VMDI?I@E?_@IQE[N_@RID]R,115
0,40.7038691,-74.0165059,40.7047052,-74.0170943,e~lwFdjwbMIGEC[Wq@@KBA@C?E?G?A@C?CBA@A@A?A@A?A?A?CC?\AP?FAL?FAHCZCR,115
0,40.7047052,-74.0170943,40.7077781,-74.0159038,mcmwFxmwbMUGUGYIaCq@uBm@]IOCMAKCKEs@QKEICIEIGKEMEKEMCo@QQG,115
0,40.7077781,-74.0159038,40.708338,-74.0171415,svmwFjfwbMGROd@CDQf@Ul@k@`B,115
1,40.7531647,-73.978014,40.7531083,-73.9778774,grvwFpyobMHY,115
1,40.7531083,-73.9778774,40.7549603,-73.9764902,}qvwFvxobMyBwA_CeBwBwA,115
1,40.7549603,-73.9764902,40.7546267,-73.9757001,o}vwF`pobMFWVw@Pe@Ng@,115
1,40.7546267,-73.9757001,40.7596427,-73.9720574,m{vwFbkobMOEoBqAm@_@qAw@{B{AyB}A{B}A}B}AyBwA_CyA,115
1,40.7596427,-73.9720574,40.7573799,-73.9666835,wzwwFjtnbM|BoHdBqF`@oAnCsIl@mB,115
1,40.7573799,-73.9666835,40.7579981,-73.9662415,slwwFvrmbM{BwA,115
1,40.7579981,-73.9662415,40.7579258,-73.9660674,opwwF~ombMLa@,115
2,40.7531647,-73.978014,40.7565846,-73.9861598,grvwFpyobMa@pA]hAcBjFc@tAiFjPe@vAsEzN,115
2,40.7565846,-73.9861598,40.7423132,-73.9890177,sgwwFnlqbMvCv@xCn@lCl@nCj@z@Rx@PVDf@HhBZ|@LF@jAPp@DdBP`AJbBLf@LRFRJh@^@@@AFSL]?C@?@AT@BBBBD@TDVBJ@H@x@Lb@DpBVd@DZBNBJ@v@HrCXl@Hl@Hx@HtCXf@Fl@Hf@FV@V@|@Jh@FXBPB`AHF?F?@ABAd@g@,115
2,40.7423132,-73.9890177,40.7366894,-73.9931526,mntwFj~qbMJFdAp@RPr@d@dCdBzBtArBtAtBtAtBrAtBrArBvA|B~A,115
