orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.749989,-73.9689782,40.7514865,-73.967891,m~uwFbanbMWQ}AcAa@YyBwAYQ,340
0,40.7514865,-73.967891,40.7570131,-73.963871,ygvwFhzmbMQGKIICMEe@MCAG?GCCACAOIwA_AMMIICCAECCCEACECu@e@KMSMQOCScBcA{B{A}ByAu@e@eAs@_C{A{B{A,340
0,40.7570131,-73.963871,40.7579258,-73.9660674,ijwwFdambMwDvL,340
1,40.7596702,-73.9740536,40.7641748,-73.9847444,}zwwFx`obMM`@gCdIwFfQY|@kClI{@lCc@tAqAdE}CrJ,340
1,40.7641748,-73.9847444,40.767758,-73.9821527,awxwFrcqbM}ByA{B}A}ByAeCcBaAk@]Si@_@eAo@,340
1,40.767758,-73.9821527,40.769154,-73.9819951,omywFlspbMBO@E@G?E?G@E?G?GAC?EAEAEACACCEACEECEMKECEAEAA?A?A?A?C?A?A?A?K@C@A@C?A@GDA@A?A@A@A@ABABA@ABABA@AB?B_@h@ABCBC@A?C@C?u@@q@@,340
2,40.7515477,-73.9939259,40.7660501,-73.9833663,ehvwF`}rbMkAw@s@e@eC_ByByA{ByA{ByA{ByA{B{A{BwAcCaBgCaB}B}A{ByA}ByA{B}A}BwA{B{A}ByA}B{A{B{A}ByA}ByA{B}A}ByA,340
2,40.7660501,-73.9833663,40.7634391,-73.9772008,ybywF`{pbMnBkG\_A`BiFxAwEtC_Jh@cB,340
4,40.7623403,-73.9835037,40.7614492,-73.9841062,skxwFz{pbM\RVNx@d@`An@,340
4,40.7614492,-73.9841062,40.7598896,-73.9804421,afxwFt_qbMHWVu@b@uA~DeMp@sB,340
4,40.7598896,-73.9804421,40.7623979,-73.9785983,i|wwFvhpbMaC{AyByA_CyAyB_B,340
4,40.7623979,-73.9785983,40.7597239,-73.9722467,_lxwFf}obMlG_ShCeIxAwEd@wA,340
4,40.7597239,-73.9722467,40.759087,-73.9726994,g{wwFpunbM|BxA,340
4,40.759087,-73.9726994,40.7596702,-73.9740536,iwwwFjxnbMsBlG,340
5,40.7518788,-73.9776889,40.751412,-73.9780301,gjvwFpwobM|AbA,340
5,40.751412,-73.9780301,40.7491528,-73.9726974,igvwFtyobM~AeF\cAhCeIdAiDtBoG,340
