orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
4,40.7531647,-73.978014,40.7565846,-73.9861598,grvwFpyobMa@pA]hAcBjFc@tAiFjPe@vAsEzN,2175
4,40.7565846,-73.9861598,40.7550524,-73.9866811,sgwwFnlqbMvCv@xCn@,2175
4,40.7550524,-73.9866811,40.7564483,-73.9899947,a~vwFvoqbM_AxCwEzN,2175
5,40.708338,-74.0171415,40.7084197,-74.0173228,czmwFbnwbMOb@,2158
5,40.7084197,-74.0173228,40.7115432,-74.0157396,szmwFfowbM}ByAs@c@QKIE_A_@}@WgCu@aAYyAc@,2158
5,40.7115432,-74.0157396,40.7120797,-74.0166196,cnnwFjewbMGVI`@?@U^KVMTIJKJA@GDID,2158
5,40.7120797,-74.0166196,40.7135526,-74.0170994,oqnwFzjwbM?ACEACWAwAUeAQgAQG?A@A?AB?BAHQrC,2158
5,40.7135526,-74.0170994,40.7157893,-74.0153457,uznwFzmwbMoAw@KI{B{Aa@Y_Ao@qAaAe@[MW,2158
5,40.7157893,-74.0153457,40.7162669,-74.0164404,uhowF|bwbMGLMTaAlCERAR,2158
5,40.7162669,-74.0164404,40.7153837,-74.0165476,ukowFviwbMN?N?P@VDXFPHRHRJBABABGFM,2158
7,40.7644133,-73.973755,40.7645788,-73.9736392,qxxwF~~nbMa@W,1931
7,40.7645788,-73.9736392,40.7679996,-73.9814639,syxwFf~nbM}EdO_@nAc@tAkDpKYdA]|@a@rAoA`Es@bA,1931
7,40.7679996,-73.9814639,40.769154,-73.9819951,_oywFbopbMA?A?A?A?C?A?A?A?K@C@A@C?A@GDA@A?A@A@A@ABABA@ABABA@AB?B_@h@ABCBC@A?C@C?u@@q@@,1931
9,40.7305104,-73.9957533,40.7307018,-73.995581,udrwFlhsbMe@a@,1860
9,40.7307018,-73.995581,40.7349115,-73.9919724,{erwFjgsbMKKGGmAcAmAcAuB_BmBaBqBaB{BkBiA}@q@g@kA_A,1860
10,40.7153837,-74.0165476,40.7151186,-74.0159383,cfowFljwbMDMl@kB,1754
10,40.7151186,-74.0159383,40.7135526,-74.0170994,odowFrfwbM~@n@`@XzBzAJHnAv@,1754
10,40.7135526,-74.0170994,40.7120797,-74.0166196,uznwFzmwbMPsC@I?C@C@?@AF?fAPdAPvATV@@BBD?@,1754
10,40.7120797,-74.0166196,40.7115842,-74.0158564,oqnwFzjwbMHEFE@AJKHKLUJWT_@?AHa@,1754
10,40.7115842,-74.0158564,40.7084625,-74.0174272,knnwFbfwbM|Ab@hEjA|@Z~@^HDNJp@`@|BxA,1754
10,40.7084625,-74.0174272,40.708338,-74.0171415,{zmwF|owbMFUNc@,1754
11,40.7418091,-74.0014731,40.7416646,-74.0011315,iktwFdltbM\cA,1752
11,40.7416646,-74.0011315,40.7504221,-73.9947454,kjtwF`jtbMuBuAy@i@{@i@sBwA}@i@w@i@{BwAcAq@_Ao@cC_Bw@i@eAq@{ByA{ByAyByA{ByA{ByAcAq@u@g@[S,1752
12,40.7261517,-73.9838475,40.7291459,-73.9909447,miqwF`~pbMaDzJSl@sDlLmCnIo@pBo@nB,1740
12,40.7291459,-73.9909447,40.7297446,-73.9907621,e|qwFjjrbMIAuAUGAMI,1740
12,40.7297446,-73.9907621,40.72983,-73.9914232,{_rwFfirbMQbC,1740
12,40.72983,-73.9914232,40.7303213,-73.9908417,m`rwFjmrbMOYUe@MMm@e@,1740
13,40.7417737,-73.9941298,40.7464045,-74.0051253,aktwFh~rbMwBrGwAtEoFvPsF~PmElN[fA,1715
13,40.7464045,-74.0051253,40.7470178,-74.0046633,_huwF`cubMmA{@m@a@,1715
13,40.7470178,-74.0046633,40.7469489,-74.0044977,{kuwFb`ubML_@,1715
14,40.7204213,-74.010088,40.7154181,-74.0111992,sepwF`bvbMVBj@H|BR`CPbALbANbCZnBZvBd@z@JjARf@L,1627
15,40.7659243,-73.9761871,40.7656852,-73.9762334,_bywFdnobMBAB?D?F@F@ND,1547
15,40.7656852,-73.9762334,40.7679996,-73.9814639,q`ywFlnobM_@nAc@tAkDpKYdA]|@a@rAoA`Es@bA,1547
15,40.7679996,-73.9814639,40.769154,-73.9819951,_oywFbopbMA?A?A?A?C?A?A?A?K@C@A@C?A@GDA@A?A@A@A@ABABA@ABABA@AB?B_@h@ABCBC@A?C@C?u@@q@@,1547
16,40.769154,-73.9819951,40.7683731,-73.9817121,evywFnrpbMp@At@AB?BA@?BABC@C^i@,1499
