orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7602236,-73.9913269,40.7422112,-74.0045232,k~wwFxlrbM~AfA~BxAfCbBpBxAh@\NJHD?@RJ?@DBl@^xBxA~BvAtBrA|@r@|@h@~BzAbC~AbC~AjBrAb@XbBlAd@Xv@h@XP~B~AbAl@x@h@nBpADDv@f@fAv@|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvAn@^bAr@rBtAr@f@bAl@NL,87
0,40.7422112,-74.0045232,40.7416627,-74.0049708,ymtwFf_ubMXZBBVP`@VTN,87
0,40.7416627,-74.0049708,40.7428273,-74.0077346,kjtwF`bubMIVeBlFEN{A|EWr@,87
0,40.7428273,-74.0077346,40.7434653,-74.0072547,uqtwFhsubMo@c@oA{@,87
0,40.7434653,-74.0072547,40.7433088,-74.0068788,uutwFhpubMTq@?ABEDO,87
0,40.7433088,-74.0068788,40.7433598,-74.0068437,uttwF~mubMIG,87
1,40.7666517,-73.9906503,40.7665562,-73.9904231,qfywFphrbMPm@,87
1,40.7665562,-73.9904231,40.7671971,-73.9899745,_fywFbgrbM_CyA,87
1,40.7671971,-73.9899745,40.7640506,-73.9825156,_jywFhdrbMrF{PjFsPtCaJ,87
1,40.7640506,-73.9825156,40.7601347,-73.9848652,ivxwFvupbMPFrB~@f@VzAr@hBbAVNx@d@`An@`CpANFf@PlAj@,87
1,40.7601347,-73.9848652,40.7598462,-73.984197,y}wwFldqbMZcAZaA,87
1,40.7598462,-73.984197,40.756034,-73.9869451,a|wwFf`qbM`Aj@|@j@zBvAr@b@jAr@^^xA~@~B~AdC|A,87
1,40.756034,-73.9869451,40.7558224,-73.9864397,edwwFlqqbMh@eB,87
1,40.7558224,-73.9864397,40.7551483,-73.986651,{bwwFfnqbMdCh@,87
2,40.7549062,-73.9802159,40.7547891,-73.979941,e}vwFjgpbMVw@,87
2,40.7547891,-73.979941,40.75416,-73.980395,m|vwFrepbMl@`@nAx@,87
2,40.75416,-73.980395,40.7590996,-73.9921448,oxvwFnhpbMiFjPe@vAsEzNW~@CHkEzMa@lAmFvP,87
2,40.7590996,-73.9921448,40.7553062,-73.9949049,kwwwFzqrbMfCbBpBxAh@\NJHD?@RJ?@DBl@^xBxA~BvAtBrA,87
2,40.7553062,-73.9949049,40.7565623,-73.9979308,u_wwFbcsbM_@pAMd@CFGRADCHCF?@ELCF?@GTKZAB?@A??BGRKZqBfGMb@,87
3,40.7549062,-73.9802159,40.7537166,-73.9774379,e}vwFjgpbMVw@jCcIhAoD,87
3,40.7537166,-73.9774379,40.7549603,-73.9764902,wuvwF~uobM_CeBwBwA,87
3,40.7549603,-73.9764902,40.7523612,-73.9703183,o}vwF`pobMFWVw@Pe@Ng@f@{A@IvAiEbBsF`@mA|DaM,87
