orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7568409,-73.9828815,40.7591625,-73.988378,giwwF~wpbM}EnOITGRqAbE_B`Fm@jB,68
0,40.7591625,-73.988378,40.7641748,-73.9847444,wwwwFjzqbM}ByA{B}A}BwA{B{A}ByA}B{A{B{A}ByA,68
0,40.7641748,-73.9847444,40.7666517,-73.9906503,awxwFrcqbMmFxPoFtPQl@,68
1,40.7568409,-73.9828815,40.7579537,-73.985521,giwwF~wpbM}EnO,68
1,40.7579537,-73.985521,40.756034,-73.9869451,epwwFnhqbM^^xA~@~B~AdC|A,68
1,40.756034,-73.9869451,40.7558224,-73.9864397,edwwFlqqbMh@eB,68
1,40.7558224,-73.9864397,40.7423132,-73.9890177,{bwwFfnqbMxCn@lCl@nCj@z@Rx@PVDf@HhBZ|@LF@jAPp@DdBP`AJbBLf@LRFRJh@^@@@AFSL]?C@?@AT@BBBBD@TDVBJ@H@x@Lb@DpBVd@DZBNBJ@v@HrCXl@Hl@Hx@HtCXf@Fl@Hf@FV@V@|@Jh@FXBPB`AHF?F?@ABAd@g@,68
1,40.7423132,-73.9890177,40.7373163,-73.9926676,mntwFj~qbMJFdAp@RPr@d@dCdBzBtArBtAtBtAtBrAtBrArBvA,68
1,40.7373163,-73.9926676,40.7372141,-73.9924248,goswFdurbMTq@,68
2,40.7568409,-73.9828815,40.7579537,-73.985521,giwwF~wpbM}EnO,68
2,40.7579537,-73.985521,40.756034,-73.9869451,epwwFnhqbM^^xA~@~B~AdC|A,68
2,40.756034,-73.9869451,40.7558224,-73.9864397,edwwFlqqbMh@eB,68
2,40.7558224,-73.9864397,40.7437953,-73.9890388,{bwwFfnqbMxCn@lCl@nCj@z@Rx@PVDf@HhBZ|@LF@jAPp@DdBP`AJbBLf@LRFRJh@^@@@AFSL]?C@?@AT@BBBBD@TDVBJ@H@x@Lb@DpBVd@DZBNBJ@v@HrCXl@Hl@Hx@HtCXf@Fl@Hf@FV@,68
2,40.7437953,-73.9890388,40.7413912,-73.9833659,wwtwFn~qbMFO~@uC~BoHFQ`CuHHWdCwH,68
2,40.7413912,-73.9833659,40.7415041,-73.983286,uhtwF`{pbMUO,68
3,40.7472825,-73.9972837,40.7472041,-73.9970975,omuwF~qsbMNc@,68
3,40.7472041,-73.9970975,40.765418,-73.983822,_muwFzpsbM{ByAyByA{ByA{ByAcAq@u@g@cCaBs@c@}@m@sA{@s@e@eC_ByByA{ByA{ByA{ByA{B{A{BwAcCaBgCaB}B}A{ByA}ByA{B}A}BwA{B{A}ByA}B{A{B{A}ByA}ByA{B}A,68
3,40.765418,-73.983822,40.766614,-73.9866568,{~xwFz}pbMmFvP,68
3,40.766614,-73.9866568,40.7659819,-73.987111,ifywFroqbM|BxA,68
3,40.7659819,-73.987111,40.7658845,-73.9868794,kbywFlrqbMRm@,68
4,40.7627446,-73.9929784,40.7640121,-73.9960221,cnxwFbwrbMM^w@fCwDvL,68
