orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7442174,-73.9712074,40.7438436,-73.9714188,kztwF`onbMHD`Ab@,161
0,40.7438436,-73.9714188,40.7438584,-73.9715136,_xtwFjpnbMCP,161
0,40.7438584,-73.9715136,40.7438061,-73.9715442,cxtwF|pnbMHD,161
0,40.7438061,-73.9715442,40.7407002,-73.972449,ywtwFbqnbMh@Zf@XLHRLHDhAd@^J@@h@HXDL@F@l@FBA@A?EDg@?C@?@?PBfCZ|@JRZ,161
0,40.7407002,-73.972449,40.7389404,-73.9729334,kdtwFxvnbMnBTDABCBEBCB?B?tCh@F@|@AB?@@?B?@?BKb@,161
0,40.7389404,-73.9729334,40.7370239,-73.9742449,kyswFxynbM\L\LVLVNrGjE,161
0,40.7370239,-73.9742449,40.7314464,-73.9736165,kmswF~aobM^Ad@ZTH\H^Fd@FVFVFF@HBH@F@F?JADABAb@BJANAPCRGLEREJAnAMH?J?hHiAjDk@`@KNILIFI@?@AB?FC,161
0,40.7314464,-73.9736165,40.7313069,-73.9738645,qjrwFb~nbMLTHR@@@B,161
0,40.7313069,-73.9738645,40.7313463,-73.9740184,uirwFr_obMG^,161
0,40.7313463,-73.9740184,40.7327335,-73.9743738,}irwFr`obMsB^y@LaALc@H,161
0,40.7327335,-73.9743738,40.7330729,-73.9753501,qrrwFxbobM@J?B?BAB?DABAJ_AtC,161
0,40.7330729,-73.9753501,40.7329583,-73.9754359,utrwF|hobMTP,161
0,40.7329583,-73.9754359,40.7330993,-73.9757706,_trwFniobM[`A,161
1,40.7382261,-73.9875557,40.7359972,-73.9822652,}tswFfuqbMz@kC~@yCz@iCfAmD|DcM,161
1,40.7359972,-73.9822652,40.7236698,-73.9910277,_gswFdtpbMtBpArBtAtBvAtBtA|BxAnBrAXRbBfAd@ZdAr@x@h@~BzAn@b@hAr@rBtAz@h@x@j@zBxAr@d@~@l@zBvAjAv@j@`@xBvAnAx@r@b@fAr@t@f@RLNFPHHBFBJ@L@R?,161
1,40.7236698,-73.9910277,40.7159015,-73.9950213,}ypwF|jrbMTF|B~@lBx@dCfA`Bn@`C`AnBt@\PdAd@XL~@b@|@\l@TlAf@nAf@zCnAtAj@BDBBB@JDbBn@,161
1,40.7159015,-73.9950213,40.7156768,-73.9943871,kiowFzcsbMFYBO^sA,161
1,40.7156768,-73.9943871,40.6998331,-73.9868294,_howF|_sbMLFLDOl@?D?@@BD@B?D?FCHCNALAN?L@J@@?DAF?j@YFADAD?B?FCl@a@VMBABATKp@YTKDCDCHE|Aq@PKDA@AVMnAg@XKDC@APGnAk@^QBC@?XM|Aq@r@[@ANGdAe@b@Sr@[NGJEBAJGFCPIJEFCzMsGRMRKtEyBtE{Bt@]BALEp@[VMHE\Q@?@ALG|BeAf@UvAs@BANGBAbBs@XMb@SNG~@a@@ABANG?A@?XMv@_@?ApAi@@Af@W@?DCDA?ADA@ALERMROLSHOFMDQDMBOBS?O?MAGCICEECCCGCG?E@E@EBABEHCJGTIh@E\E`@?RAR?N?H?F?V?X?PBX,161
1,40.6998331,-73.9868294,40.6949665,-73.9871666,}dlwFtpqbMvBF`@@nAJ^@bDJnADvA@l@BpAD`@@hADhCD,161
1,40.6949665,-73.9871666,40.695012,-73.9886347,qfkwFxrqbMGbH,161
1,40.695012,-73.9886347,40.6950865,-73.9886312,yfkwF|{qbMO?,161
1,40.6950865,-73.9886312,40.6930364,-73.9891137,igkwF|{qbM?T?`@?VL?J?x@@fAD`EFZ?X?D?,161
1,40.6930364,-73.9891137,40.6930567,-73.9899008,ozjwF|~qbM?@CzC,161
1,40.6930567,-73.9899008,40.6924921,-73.9895561,szjwFzcrbMJEdB}@,161
2,40.7390762,-73.9797745,40.7391612,-73.9799758,gzswFpdpbMOh@,161
2,40.7391612,-73.9799758,40.734242,-73.9835512,wzswFzepbM|@j@|@l@j@^vA~@dC|A|BxArBvAtBpArBtAtBvA,161
2,40.734242,-73.9835512,40.7358757,-73.9874033,_|rwFd|pbMcA|C{BdHcA|CcA~C,161
2,40.7358757,-73.9874033,40.7352841,-73.9878224,gfswFftqbMvBrA,161
2,40.7352841,-73.9878224,40.735198,-73.9876185,obswFzvqbMNg@,161
3,40.7455403,-74.0020732,40.7422897,-74.0044498,sbuwF|otbM|@l@p@b@bAp@tBvAn@^bAr@rBtAr@f@bAl@,161
3,40.7422897,-74.0044498,40.7373163,-73.9926676,intwFx~tbMz@kCLc@hDqKlFyPlFwPpG_S,161
3,40.7373163,-73.9926676,40.7353038,-73.9941567,goswFdurbM|B~AxA~@LH`@VjCfB,161
3,40.7353038,-73.9941567,40.7365173,-73.9970265,sbswFn~rbMsF|P,161
4,40.7598837,-73.9765124,40.7598002,-73.9763044,g|wwFdpobMNi@,161
4,40.7598002,-73.9763044,40.759166,-73.976748,w{wwFznobM|BxA,161
4,40.759166,-73.976748,40.7605396,-73.9799752,ywwwFtqobMgB|FeCpHc@tA,161
