orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7303213,-73.9908417,40.7306034,-73.9906266,ocrwFvirbMg@]OK,339
0,40.7306034,-73.9906266,40.7341486,-73.9991785,gerwFlhrbMqBbGgE|MeCbI}BhH_CnHCHAFAJ?N,339
0,40.7341486,-73.9991785,40.7333948,-74.0042842,m{rwFz}sbMP`BTnCVfDB`@HhAVdD@PBXj@bH,339
0,40.7333948,-74.0042842,40.7323031,-74.0036543,uvrwFv}tbM`Bu@vBgA,339
0,40.7323031,-74.0036543,40.7316721,-74.0067531,{orwFxytbM~AhHf@tBBL?H@F?HAPKzBAR,339
1,40.7303213,-73.9908417,40.7306512,-73.9905405,ocrwFvirbMg@]OKIQ,339
1,40.7306512,-73.9905405,40.7312538,-73.9903946,qerwFzgrbMwB],339
1,40.7312538,-73.9903946,40.7297528,-73.9868166,iirwF|frbMp@wBz@oC`CoHz@qC,339
1,40.7297528,-73.9868166,40.724894,-73.9903523,}_rwFrpqbMrBtAz@h@x@j@zBxAr@d@~@l@zBvAjAv@j@`@xBvAnAx@r@b@,339
1,40.724894,-73.9903523,40.7250388,-73.9906892,qaqwFtfrbM]bA,339
2,40.7045563,-74.0136255,40.7046208,-74.0142352,obmwFdxvbMA`@?\?F?HCNEV,339
2,40.7046208,-74.0142352,40.7048227,-74.0170477,{bmwF~{vbMEVEVGXCPEREd@G\CXE^ATAV?\Bt@Bp@BV@P@VD`@?J?HAHAJ,339
2,40.7048227,-74.0170477,40.7057072,-74.0167058,cdmwFpmwbMUGYIaCq@,339
2,40.7057072,-74.0167058,40.7057204,-74.0167662,uimwFlkwbMAJ,339
3,40.7290999,-73.9939954,40.7293736,-73.9945618,{{qwFn}rbMu@nB,339
3,40.7293736,-73.9945618,40.723406,-73.999641,q}qwF~`sbMrBfBzBhBzD~C|@p@xExDTP~E|DrDrCx@t@,339
3,40.723406,-73.999641,40.7222705,-73.9971417,ixpwFv`tbMVo@p@uBlAeDjAgD,339
3,40.7222705,-73.9971417,40.7218297,-73.9972693,eqpwFbqsbM\Bx@T,339
4,40.7267306,-73.9968212,40.7269198,-73.9966589,amqwFbosbMe@_@,339
4,40.7269198,-73.9966589,40.7272948,-73.997415,gnqwFbnsbMiAvC,339
4,40.7272948,-73.997415,40.7285309,-73.9963714,qpqwFzrsbMwFqE,339
4,40.7285309,-73.9963714,40.7300407,-73.9993896,ixqwFhlsbMkAvCmAxCiApCiAvC,339
4,40.7300407,-73.9993896,40.7304662,-73.9990369,warwFd_tbMuAeA,339
5,40.7489828,-73.9917285,40.749101,-73.992006,cxuwFhorbMWv@,339
5,40.749101,-73.992006,40.748469,-73.992463,{xuwF`qrbM|BxA,339
5,40.748469,-73.992463,40.7467947,-73.9884889,}tuwFzsrbMdC{HX}@@ElAwD~AaF,339
5,40.7467947,-73.9884889,40.7388093,-73.9898501,mjuwF`{qbMrCXl@Hl@Hx@HtCXf@Fl@Hf@FV@V@|@Jh@FXBPB`AHF?F?@ABAd@g@JKDCFAF?J?N@L@`@H~@RRFLDdATdANfARfARhCf@dAP,339
5,40.7388093,-73.9898501,40.7378063,-73.9901465,qxswFpcrbM`ATj@J^Fx@P,339
5,40.7378063,-73.9901465,40.7364484,-73.9869654,irswFlerbM~A}E`@mAJU`CyH,339
5,40.7364484,-73.9869654,40.7352841,-73.9878224,yiswFpqqbMpBtAvBrA,339
5,40.7352841,-73.9878224,40.735198,-73.9876185,obswFzvqbMNg@,339
6,40.7340127,-74.0029301,40.7342446,-74.0029916,qzrwFhutbMm@J,339
6,40.7342446,-74.0029916,40.7327152,-73.9938332,_|rwFtutbMQuB[eEi@yGSqCEs@AM?I?I@IBMhCeIbCyHnCqI,339
6,40.7327152,-73.9938332,40.7351977,-73.9917371,orrwFl|rbMqBaB{BkBiA}@q@g@eCmB,339
6,40.7351977,-73.9917371,40.7347964,-73.9907795,_bswFjorbMTs@Ts@b@wA,339
6,40.7347964,-73.9907795,40.7345566,-73.9908306,o_swFjirbMn@H,339
7,40.7622326,-73.9879111,40.7628671,-73.9894093,}jxwFlwqbM_CjH,339
7,40.7628671,-73.9894093,40.7622359,-73.9898651,}nxwFx`rbM|BzA,339
7,40.7622359,-73.9898651,40.7559774,-73.974981,_kxwFtcrbMnFyPtDmLZcAZaAlD}KZ_Ad@yAfDoKhAmD\iAfBwF^kA|BoH,339
7,40.7559774,-73.974981,40.7553477,-73.9754202,{cwwFrfobMpAx@j@\,339
7,40.7553477,-73.9754202,40.7551462,-73.974955,}_wwFjiobMN_@V}@,339
8,40.7370019,-73.9901289,40.7416646,-74.0011315,gmswFherbMSj@wAlE_@hAg@~AqGbSoFvPmFvP,339
8,40.7416646,-74.0011315,40.756567,-73.990276,kjtwF`jtbMuBuAy@i@{@i@sBwA}@i@w@i@{BwAcAq@_Ao@cC_Bw@i@eAq@{ByA{ByAyByA{ByA{ByAcAq@u@g@cCaBs@c@}@m@sA{@s@e@eC_ByByA{ByA{ByA{ByA{B{A{BwA,339
8,40.756567,-73.990276,40.7564483,-73.9899947,qgwwFffrbMVy@,339
9,40.7294298,-73.9776928,40.7313768,-73.9822648,}}qwFpwobMSn@s@xBaBhFo@nBm@pBWt@a@nAy@jCCDABC?,339
9,40.7313768,-73.9822648,40.7325587,-73.9814387,cjrwFbtpbMA@C?CAeBkAmAy@m@],339
9,40.7325587,-73.9814387,40.7333229,-73.9831822,oqrwF~npbMQb@M\wBxG,339
9,40.7333229,-73.9831822,40.7326895,-73.9836429,gvrwFzypbM|BzA,339
9,40.7326895,-73.9836429,40.7353634,-73.9899657,irrwFv|pbMaA|CaA|C{BfHcC|HgCxHIT,339
9,40.7353634,-73.9899657,40.7347964,-73.9907795,_cswFhdrbMNJPLNVFJDHFJP`@Tj@,339
9,40.7347964,-73.9907795,40.7360044,-73.993644,o_swFjirbMc@vAUr@Ur@cBpFELu@zB,339
9,40.7360044,-73.993644,40.7353038,-73.9941567,_gswFf{rbMjCfB,339
9,40.7353038,-73.9941567,40.7365173,-73.9970265,sbswFn~rbMsF|P,339
10,40.7501439,-73.9983405,40.7502703,-73.9986404,k_vwFrxsbMYz@,339
10,40.7502703,-73.9986404,40.7452271,-74.0023036,e`vwFnzsbMbAl@x@h@nBpADDv@f@fAv@|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxA,339
10,40.7452271,-74.0023036,40.7464045,-74.0051253,u`uwFjqtbMmElN[fA,339
10,40.7464045,-74.0051253,40.7470178,-74.0046633,_huwF`cubMmA{@m@a@,339
10,40.7470178,-74.0046633,40.7469489,-74.0044977,{kuwFb`ubML_@,339
12,40.7478391,-73.9734149,40.7479276,-73.973612,_quwFx|nbMQf@,339
12,40.7479276,-73.973612,40.7441072,-73.9763734,qquwF`~nbM|BtA@@zBtAFDPJ@@HDHFHDPJn@b@zB|AfBjAZVVPjBlA,339
12,40.7441072,-73.9763734,40.7489862,-73.9880222,uytwFhoobMyD|LiC~HeC|HIV_CrHgC~HoF|PAFAD?D,339
12,40.7489862,-73.9880222,40.7485815,-73.9881397,exuwFbxqbMBBBBD@TDVBJ@H@,339
13,40.7504221,-73.9947454,40.7502839,-73.9948484,cavwFdbsbMZR,339
