orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
1,40.7204213,-74.010088,40.7156179,-74.0111326,sepwF`bvbMVBj@H|BR`CPbALbANbCZnBZvBd@z@JjAR,326
1,40.7156179,-74.0111326,40.7146939,-74.0091438,sgowFphvbMdC_Hr@mB,326
2,40.7634391,-73.9772008,40.7636463,-73.9776972,orxwFntobMi@bB,326
2,40.7636463,-73.9776972,40.76303,-73.9781429,ysxwFrwobMzBvA,326
2,40.76303,-73.9781429,40.7678074,-73.9894966,}oxwFjzobMqC|Iw@dCe@vA}@pCCHCHWv@KZcCxHmFvPoFvP,326
2,40.7678074,-73.9894966,40.7704095,-73.9876293,ymywFjarbM_C{AeC_BeCcB{BuA,326
2,40.7704095,-73.9876293,40.7705675,-73.9879972,a~ywFtuqbM_@hA,326
3,40.7634391,-73.9772008,40.7636463,-73.9776972,orxwFntobMi@bB,326
3,40.7636463,-73.9776972,40.76303,-73.9781429,ysxwFrwobMzBvA,326
3,40.76303,-73.9781429,40.7642274,-73.9809997,}oxwFjzobMqC|Iw@dCe@vA,326
3,40.7642274,-73.9809997,40.7503293,-73.9911014,mwxwFflpbM|BtA|BzAzB|AzBzA|B|AzB|A|BvA`Aj@|@j@zBvAr@b@jAr@^^xA~@~B~AdC|AbCbBj@\nAx@zBvAxBxA|BzAvB|AxB~Ax@d@n@\^RbC|A,326
3,40.7503293,-73.9911014,40.7502421,-73.9908992,q`vwFjkrbMPg@,326
4,40.7329492,-74.0071228,40.732643,-74.0086766,}srwFnoubMFp@F`@J^ZdDD\,326
4,40.732643,-74.0086766,40.7260554,-74.0099613,_rrwFfyubMZB|BX|BVRDPB|BVpCZnC\fCVnC\dAHzBThAN`@F,326
4,40.7260554,-74.0099613,40.7222705,-73.9971417,{hqwFfavbMPgDBYJyBFkBDs@JaCDu@Bs@JsBTwFFiBDa@n@aBhAsC`AmChAyClAyCfAwCVo@p@uBlAeDjAgD,326
4,40.7222705,-73.9971417,40.7218297,-73.9972693,eqpwFbqsbM\Bx@T,326
5,40.7646611,-73.9878636,40.7635447,-73.9851925,czxwFbwqbM~EuO,326
5,40.7635447,-73.9851925,40.767758,-73.9821527,csxwFlfqbM}ByA}ByA{B}A}ByAeCcBaAk@]Si@_@eAo@,326
5,40.767758,-73.9821527,40.769154,-73.9819951,omywFlspbMBO@E@G?E?G@E?G?GAC?EAEAEACACCEACEECEMKECEAEAA?A?A?A?C?A?A?A?K@C@A@C?A@GDA@A?A@A@A@ABABA@ABABA@AB?B_@h@ABCBC@A?C@C?u@@q@@,326
6,40.744717,-73.9991791,40.7446311,-73.9989763,o}twFz}sbMPg@,326
6,40.7446311,-73.9989763,40.746581,-73.997552,}|twFr|sbMcAq@_Ao@cC_Bw@i@eAq@,326
6,40.746581,-73.997552,40.7477802,-74.0004341,ciuwFtssbMoF~P,326
6,40.7477802,-74.0004341,40.7422112,-74.0045232,spuwFtetbM|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvAn@^bAr@rBtAr@f@bAl@NL,326
6,40.7422112,-74.0045232,40.7421024,-74.0045729,ymtwFf_ubMTH,326
7,40.7467433,-74.0077573,40.7467972,-74.0078871,cjuwFnsubMKX,326
