orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7428878,-73.9770105,40.7421167,-73.9773296,artwFhsobMnBpAB@@@B?B?B?@?BAPS,77
0,40.7421167,-73.9773296,40.7412687,-73.9753402,gmtwFhuobMdCyHb@sA,77
0,40.7412687,-73.9753402,40.7437815,-73.9735207,}gtwFzhobMYSwFqDyAcAe@YcBgA,77
0,40.7437815,-73.9735207,40.7431786,-73.9719585,swtwFn}nbMjAsDj@cB?ABI?E?A?EAAAC,77
0,40.7431786,-73.9719585,40.7407002,-73.972449,{stwFvsnbMhAd@^J@@h@HXDL@F@l@FBA@A?EDg@?C@?@?PBfCZ|@JRZ,77
0,40.7407002,-73.972449,40.7389404,-73.9729334,kdtwFxvnbMnBTDABCBEBCB?B?tCh@F@|@AB?@@?B?@?BKb@,77
0,40.7389404,-73.9729334,40.7370239,-73.9742449,kyswFxynbM\L\LVLVNrGjE,77
0,40.7370239,-73.9742449,40.7214269,-73.9742585,kmswF~aobM^Ad@ZTH\H^Fd@FVFVFF@HBH@F@F?JADABAb@BJANAPCRGLEREJAnAMH?J?hHiAjDk@`@KNILIFI@?@AB?FCTS`@_@l@i@Z_@t@_Ad@s@T_@V]Z_@PMLMPI\STMRGPIPCPEt@Ct@BrAJzAL|AZ~@Hz@J|@Pd@NlBp@DBfDdBvAp@HF`@R|Ax@z@d@jBn@v@ZdAZ`AHz@H,77
0,40.7214269,-73.9742585,40.714154,-73.9765584,}kpwFbbobMR@r@FfAFD@~ANbBLR@RLdADlAHjAH\@D?F?Z@N@j@H^J\HLD^NXJzB`A|B|@xCjAVJD@@@B@B@@?@@@?D@@@D@@@FBDB~@\b@V,77
0,40.714154,-73.9765584,40.714827,-73.977579,m~nwFnpobMCFA@A?A?c@Sg@UAC@C@?^NDB@BAB?@EL?@ETABCJAF?@CHER_@jBCDCBC@O?,77
0,40.714827,-73.977579,40.7145668,-73.9768454,ubowFzvobMFIDG@GBI^mB,77
0,40.7145668,-73.9768454,40.7132285,-73.9775833,aaowFhrobMLDp@VTLNHZP`A`@fAf@,77
0,40.7132285,-73.9775833,40.7152281,-73.9842979,uxnwFzvobMYzAc@rBc@pBGXI^[~Aw@zDYtAETCLEVo@bD]fBUfAUnA]bBEL,77
0,40.7152281,-73.9842979,40.7144852,-73.9847753,eeowFz`qbMPH`CtA,77
0,40.7144852,-73.9847753,40.7140625,-73.9895913,q`owFzcqbMLlB^jJVtHNpD,77
0,40.7140625,-73.9895913,40.7142678,-73.9899037,{}nwF|arbMMHA@C@A@CBABA@?@ADABGV,77
1,40.7576927,-73.9908947,40.7584248,-73.9926409,qnwwF`jrbMcA`DmAzD,77
1,40.7584248,-73.9926409,40.7422112,-74.0045232,cswwF~trbMpBxAh@\NJHD?@RJ?@DBl@^xBxA~BvAtBrA|@r@|@h@~BzAbC~AbC~AjBrAb@XbBlAd@Xv@h@XP~B~AbAl@x@h@nBpADDv@f@fAv@|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvAn@^bAr@rBtAr@f@bAl@NL,77
1,40.7422112,-74.0045232,40.74085,-74.0051793,ymtwFf_ubM^NtAt@`@V\NHBn@F^H,77
1,40.74085,-74.0051793,40.7400264,-74.0053149,ietwFjcubMbDX,77
1,40.7400264,-74.0053149,40.7402642,-74.0058661,e`twFddubMm@nB,77
1,40.7402642,-74.0058661,40.7406247,-74.0056133,satwFtgubMgAs@,77
2,40.7576927,-73.9908947,40.7584248,-73.9926409,qnwwF`jrbMcA`DmAzD,77
