orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7521021,-73.9816031,40.7485249,-73.973144,skvwF~opbMrBsG|BkHDMDOFObBkFZ_AdCcIfAiDvBsG,38
0,40.7485249,-73.973144,40.7255512,-73.9898805,guuwFb{nbMtB|A|BtA@@zBtAFDPJ@@HDHFHDPJn@b@zB|AfBjAZVVPjBlAzBzAzBxAd@ZtA|@zBvAzBzAzBvAz@j@~@n@xBxA|@j@|@l@j@^vA~@dC|A|BxArBvAtBpArBtAtBvAtBtA|BxAnBrAXRbBfAd@ZdAr@x@h@~BzAn@b@hAr@rBtAz@h@x@j@zBxAr@d@~@l@zBvAjAv@j@`@xBvA,38
0,40.7255512,-73.9898805,40.7263893,-73.9918712,ueqwFvcrbM{CrJKX,38
0,40.7263893,-73.9918712,40.7278001,-73.9947628,}jqwFdprbMoD~Iw@rBo@zAAP,38
0,40.7278001,-73.9947628,40.7281735,-73.9956075,wsqwFfbsbMCLCLaAlC,38
0,40.7281735,-73.9956075,40.7267306,-73.9968212,avqwFpgsbMzD~C|@p@d@^,38
1,40.7521021,-73.9816031,40.7515205,-73.980225,skvwF~opbMrBsG,38
1,40.7515205,-73.980225,40.7534835,-73.9787871,_hvwFjgpbM{BwAmAy@w@g@uA_Ao@c@,38
1,40.7534835,-73.9787871,40.757907,-73.9893022,gtvwFl~obMcBjFc@tAiFjPe@vAsEzNW~@CHkEzMa@lA,38
1,40.757907,-73.9893022,40.7641748,-73.9847444,}owwFb`rbM}B}A{ByA}ByA{B}A}BwA{B{A}ByA}B{A{B{A}ByA,38
1,40.7641748,-73.9847444,40.765359,-73.9875868,awxwFrcqbMmFxP,38
1,40.765359,-73.9875868,40.7647357,-73.988042,o~xwFluqbMzBxA,38
1,40.7647357,-73.988042,40.7646611,-73.9878636,szxwFfxqbMNc@,38
2,40.7482591,-73.9783603,40.7432476,-73.9820074,ssuwFv{obMrBtAzBzAdC~AbC|A|BzAvBzA|BvAzBxA,38
2,40.7432476,-73.9820074,40.7502703,-73.9986404,ittwFprpbM}A~Ee@vAIV]fAGP}A|EeC~HwC`JwB`HoFvPoFvPsF`Q,38
2,40.7502703,-73.9986404,40.7458471,-74.0018474,e`vwFnzsbMbAl@x@h@nBpADDv@f@fAv@|BtA|@j@z@h@r@f@nA|@r@b@nAz@,38
2,40.7458471,-74.0018474,40.744717,-73.9991791,qduwFpntbM`FuO,38
3,40.7291406,-73.9980423,40.7280541,-73.998976,c|qwFvvsbMrAfAdCrB,38
3,40.7280541,-73.998976,40.7256215,-73.9937648,iuqwFr|sbMjA_DjAwChAwClAcDz@sBTm@HGTi@JYHSHOb@mC,38
3,40.7256215,-73.9937648,40.713256,-73.9982496,cfqwF~{rbMpDnA\LxHjC|GlBnCx@lCt@`FzAPF`Bl@PJfB`ApE~BdFjC`ChA`BM|Da@V_@Zg@@A@A,38
3,40.713256,-73.9982496,40.7130354,-73.9984272,{xnwF`xsbMD?D@BBZ\,38
4,40.753191,-73.9703544,40.7529921,-73.9698797,mrvwFtinbMf@}A,38
4,40.7529921,-73.9698797,40.7365839,-73.9818317,eqvwFvfnbM|BvAzBxA|BzA~B~Az@j@fAt@bCbB|BvAtB|A|BtA@@zBtAFDPJ@@HDHFHDPJn@b@zB|AfBjAZVVPjBlAzBzAzBxAd@ZtA|@zBvAzBzAzBvAz@j@~@n@xBxA|@j@|@l@j@^vA~@dC|A|BxA,38
