orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7370019,-73.9901289,40.7365646,-73.989071,gmswFherbMj@gBj@kB,326
0,40.7365646,-73.989071,40.7347964,-73.9907795,ojswFt~qbM|@n@r@f@|BzANJPLNVFJDHFJP`@Tj@,326
0,40.7347964,-73.9907795,40.7345566,-73.9908306,o_swFjirbMn@H,326
1,40.769154,-73.9819951,40.7705238,-73.9820179,evywFnrpbMa@?iA?mB@w@@,326
1,40.7705238,-73.9820179,40.7711176,-73.9834189,w~ywFrrpbMUl@aBhF,326
1,40.7711176,-73.9834189,40.7692123,-73.9847724,obzwFj{pbM~BtAjBpALHbCzA,326
1,40.7692123,-73.9847724,40.7509146,-73.9981561,qvywFxcqbMzBzAdC`BfC`B|BxA|BxAzB~AzBxAzBtA~B~AxBzA|BzAzBxA~BxAzBzAzBzA~BxAfCbBpBxAh@\NJHD?@RJ?@DBl@^xBxA~BvAtBrAXV`BdA~BzAbC~AbC~AjBrAb@XbBlAd@Xv@h@XP,326
1,40.7509146,-73.9981561,40.7496746,-73.9952986,edvwFnwsbMJWDGJYHYdDeKh@aB,326
1,40.7496746,-73.9952986,40.7504221,-73.9947454,m|uwFresbMcAq@u@g@[S,326
2,40.7521021,-73.9816031,40.7521984,-73.9818312,skvwF~opbMSl@,325
2,40.7521984,-73.9818312,40.747766,-73.9850463,glvwFlqpbMzBxAzBzAxBtAzB|AzBtAfC|AbCdB,325
2,40.747766,-73.9850463,40.7489862,-73.9880222,qpuwFpeqbMoF|PAFAD?D,325
2,40.7489862,-73.9880222,40.7403242,-73.9894316,exuwFbxqbMBBBBD@TDVBJ@H@x@Lb@DpBVd@DZBNBJ@v@HrCXl@Hl@Hx@HtCXf@Fl@Hf@FV@V@|@Jh@FXBPB`AHF?F?@ABAd@g@JKDCFAF?J?N@L@`@H~@RRFLDdATdANp@L,325
3,40.7303213,-73.9908417,40.7306034,-73.9906266,ocrwFvirbMg@]OK,325
3,40.7306034,-73.9906266,40.7328437,-73.9959437,gerwFlhrbMqBbGgE|MeCbI,325
3,40.7328437,-73.9959437,40.7313914,-73.9969915,gsrwFrisbMtBvAnAz@zA|@,325
3,40.7313914,-73.9969915,40.7307018,-73.995581,ejrwFdpsbMFQbAeCr@oBHQ,325
3,40.7307018,-73.995581,40.7305104,-73.9957533,{erwFjgsbMd@`@,325
4,40.7145581,-74.0055844,40.7147048,-74.0058989,_aowFzeubM[~@,325
4,40.7147048,-74.0058989,40.7091466,-74.0105538,{aowFzgubMdBnAnBtAdB~AlBvARN|AhAvBjB|AvA~AnAXR`BlAfCrB,325
4,40.7091466,-74.0105538,40.7090883,-74.010411,e_nwF|dvbMJ[,325
5,40.7489828,-73.9917285,40.749101,-73.992006,cxuwFhorbMWv@,325
5,40.749101,-73.992006,40.7422255,-73.9970042,{xuwF`qrbM|BxAzBxAzBxAxB~A|BtAvBzA|BvAbCbBh@\zA`AzBtArBrA,325
5,40.7422255,-73.9970042,40.742347,-73.9972924,}mtwFfpsbMWx@,325
6,40.7250388,-73.9906892,40.724894,-73.9903523,obqwFxhrbM\cA,325
6,40.724894,-73.9903523,40.7238023,-73.9913806,qaqwFtfrbMfAr@t@f@RLNFPHd@pA,325
6,40.7238023,-73.9913806,40.7250568,-73.9953711,wzpwFbmrbMMl@IXm@|CIXw@~Cq@jCAn@Id@UdA_@tA,325
6,40.7250568,-73.9953711,40.7303213,-73.9908417,sbqwF`fsbMSQUSWUsAcAQOMKs@e@y@k@QIQKqBwAmB{AgBsA[Ys@e@UQMKq@i@k@e@KIKKe@c@GIEEKQOYUe@MMm@e@,325
7,40.7129621,-74.0101641,40.7127415,-74.0096628,_wnwFnbvbMj@cB,325
7,40.7127415,-74.0096628,40.7184177,-74.0052251,sunwFj_vbMgBoAmByAmBuAqByAeBmAoByAkBsAiBuAyByAyB}AYQ,325
7,40.7184177,-74.0052251,40.7205339,-74.0052523,cyowFtcubMA?SCSCUAY?]?gDDeCF,325
7,40.7205339,-74.0052523,40.7249356,-74.0016004,ifpwFxcubMg@W{B}AsC}Bu@m@u@m@aCqBGEqFmEqAcA,325
8,40.7602236,-73.9913269,40.7432208,-74.003773,k~wwFxlrbM~AfA~BxAfCbBpBxAh@\NJHD?@RJ?@DBl@^xBxA~BvAtBrAXV`BdA~BzAbC~AbC~AjBrAb@XbBlAd@Xv@h@XP~B~AbAl@x@h@nBpADDv@f@fAv@|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvAn@^bAr@p@b@,325
9,40.7515477,-73.9939259,40.754707,-73.991633,ehvwF`}rbMkAw@s@e@eC_ByByA{ByA{ByA,325
9,40.754707,-73.991633,40.7523203,-73.9859651,}{vwFtnrbMzBeHpBsGxB}GFQlBaG,325
9,40.7523203,-73.9859651,40.7555152,-73.9836229,_mvwFhkqbM}ByAwB_B}BwAIIeBeAUOeCcB,325
9,40.7555152,-73.9836229,40.7553295,-73.9831793,_awwFr|pbMd@wA,325
10,40.7370019,-73.9901289,40.7379049,-73.9922319,gmswFherbMSj@wAlE_@hAg@~A,325
10,40.7379049,-73.9922319,40.7313914,-73.9969915,{rswFlrrbMrBvA|B~AxA~@LH`@VjCfB|BtA~B~AtBxAvBrAtBvAnAz@zA|@,325
10,40.7313914,-73.9969915,40.7321969,-73.998633,ejrwFdpsbMIPwCtH,325
10,40.7321969,-73.998633,40.7310318,-73.999631,gorwFlzsbMPP`BrAtB`B,325
10,40.7310318,-73.999631,40.72915,-74.0012121,}grwFt`tbMxBfBxAhAbDhC,325
10,40.72915,-74.0012121,40.7280541,-73.998976,e|qwFpjtbMfAsCjAyCfAoC,325
10,40.7280541,-73.998976,40.726964,-73.9998883,iuqwFr|sbMRNdEdD,325
10,40.726964,-73.9998883,40.7249356,-74.0016004,onqwFhbtbMTPzEzD`DfC,325
11,40.7154181,-74.0111992,40.7142882,-74.0115501,kfowF~hvbMdB`@zBb@,324
11,40.7142882,-74.0115501,40.7138421,-74.0105848,i_owFdkvbMp@gBf@yA,324
11,40.7138421,-74.0105848,40.7133277,-74.010995,o|nwFbevbMJHnA~@HF,324
11,40.7133277,-74.010995,40.7129621,-74.0101641,iynwFtgvbMhAeD,324
12,40.7396716,-73.9945945,40.7364484,-73.9869654,}}swFdasbMhE}M`@mAfCkI~A}E`@mAJU`CyH,324
12,40.7364484,-73.9869654,40.7352841,-73.9878224,yiswFpqqbMpBtAvBrA,324
12,40.7352841,-73.9878224,40.735198,-73.9876185,obswFzvqbMNg@,324
13,40.7114117,-74.0055994,40.7120216,-74.0060901,imnwF~eubMq@z@YTMFMBQB,324
13,40.7120216,-74.0060901,40.7121505,-74.0056153,cqnwF`iubMGSQiA,324
13,40.7121505,-74.0056153,40.7124876,-74.0048032,}qnwFbfubMIWOs@IWSg@EMEI,324
13,40.7124876,-74.0048032,40.712436,-74.0045625,atnwF~`ubM@G@C?E@G?E@E@A?G,324
13,40.712436,-74.0045625,40.7041751,-73.9945051,wsnwFn_ubMN?FCJCJEFGNOJMHKJMDGHM@ABC?ALO@CX]dAuABC@AlHmJ@APU@?z@iArAsBTYFGHMDE@C^g@PUPUPY?ANWFI@A@C@ALSDGXa@`@i@b@k@b@m@fBcCzEmGlDyEJMJObB{B,324
13,40.7041751,-73.9945051,40.6962687,-73.988749,c`mwFt`sbMfAyAdAwAZa@?A@A@CZc@|AwBLQ@A@A@C@A?Ab@k@b@m@`@i@`@k@\g@DGBAFKX_@NUNSHKDGf@o@FGT[b@k@HKJQPYHOFM?A@?N]f@_Ad@u@RWROb@UNGHCf@Ef@?f@@`A?dMZ,324
13,40.6962687,-73.988749,40.6962782,-73.9889449,unkwFt|qbM?NAT,324
13,40.6962782,-73.9889449,40.6950166,-73.989032,wnkwFz}qbM`@@|AFlBFL?,324
13,40.6950166,-73.989032,40.6950713,-73.9901532,{fkwFl~qbMC`BAf@Ar@A`@,324
13,40.6950713,-73.9901532,40.695975,-73.9900975,egkwFlerbMuDI,324
14,40.7283657,-73.9871785,40.7275748,-73.9853065,iwqwFzrqbM~CuJ,324
14,40.7275748,-73.9853065,40.7332426,-73.9811772,irqwFdgqbMaAo@u@g@sBsA_Am@w@i@aC_BeAq@y@i@[SoBoAWSk@]cAq@WQa@YcAm@QOMGuA_A,324
14,40.7332426,-73.9811772,40.7370019,-73.9901289,wurwFjmpbMcCxHcA~CcA|C{BdHcA|CcA~C_CvHGTk@jBk@fB,324
15,40.7304987,-73.9867051,40.7319459,-73.9902283,sdrwF|oqbMmBfGs@xBmB~FENCHAFAFCR,324
15,40.7319459,-73.9902283,40.7334989,-73.9898464,umrwF|erbM{Cg@yCc@,324
15,40.7334989,-73.9898464,40.7345258,-73.9922895,kwrwFpcrbM}A|EoBhG,324
15,40.7345258,-73.9922895,40.7349115,-73.9919724,y}rwFxrrbMkA_A,324
16,40.7204213,-74.010088,40.7174592,-74.0106382,sepwF`bvbMVBj@H|BR`CPbALbANbCZ,324
16,40.7174592,-74.0106382,40.7173753,-74.0100187,csowFnevbMN{B,324
