orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7330993,-73.9757706,40.7329583,-73.9754359,{trwFpkobMZaA,183
0,40.7329583,-73.9754359,40.7324347,-73.9768682,_trwFniobMRJLHNLJPJNHRDRDTFn@DX?f@Cf@,183
0,40.7324347,-73.9768682,40.7320679,-73.9773339,uprwFlrobMfAzA,183
0,40.7320679,-73.9773339,40.7319858,-73.9787049,mnrwFhuobMINGREZCl@Gd@?t@Ff@NRJDND,183
0,40.7319858,-73.9787049,40.7322888,-73.9800435,}mrwFz}obM{@jG,183
0,40.7322888,-73.9800435,40.7326491,-73.9816158,yorwFffpbMHPFJBL@H@D?H?L?JCJ_ArCKVQb@,183
0,40.7326491,-73.9816158,40.7332426,-73.9811772,arrwFbppbMQOMGuA_A,183
0,40.7332426,-73.9811772,40.7358757,-73.9874033,wurwFjmpbMcCxHcA~CcA|C{BdHcA|CcA~C,183
0,40.7358757,-73.9874033,40.7352841,-73.9878224,gfswFftqbMvBrA,183
0,40.7352841,-73.9878224,40.735198,-73.9876185,obswFzvqbMNg@,183
1,40.7515477,-73.9939259,40.7515107,-73.9939525,ehvwF`}rbMFB,183
1,40.7515107,-73.9939525,40.7527253,-73.9967889,}gvwFd}rbM]hAUr@iBvFiApDKN,183
1,40.7527253,-73.9967889,40.7422112,-74.0045232,qovwF|nsbMjBrAb@XbBlAd@Xv@h@XP~B~AbAl@x@h@nBpADDv@f@fAv@|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvAn@^bAr@rBtAr@f@bAl@NL,183
1,40.7422112,-74.0045232,40.74085,-74.0051793,ymtwFf_ubM^NtAt@`@V\NHBn@F^H,183
1,40.74085,-74.0051793,40.7372406,-74.0057643,ietwFjcubMbDXzBVbCTxBRdBNN@|@D,183
1,40.7372406,-74.0057643,40.7369538,-74.0083078,wnswF~fubMBDBBH@^FB?BB@@@@?B@BE|A?V?V?jI,183
1,40.7369538,-74.0083078,40.7289723,-74.0094061,}lswF|vubMfCJD?HAF?F?xBJnCJz@BlAFtBHXBJ@jBFXBZB|BX|BVRDPB|BVpCZnC\,183
1,40.7289723,-74.0094061,40.7287806,-74.0074811,a{qwFx}ubML{CVeF,183
2,40.7472825,-73.9972837,40.7459908,-73.9942727,omuwF~qsbMNc@pFuP,183
2,40.7459908,-73.9942727,40.7422255,-73.9970042,meuwFd_sbMvBzA|BvAbCbBh@\zA`AzBtArBrA,183
2,40.7422255,-73.9970042,40.742347,-73.9972924,}mtwFfpsbMWx@,183
3,40.7370019,-73.9901289,40.7416646,-74.0011315,gmswFherbMSj@wAlE_@hAg@~AqGbSoFvPmFvP,183
3,40.7416646,-74.0011315,40.757907,-73.9893022,kjtwF`jtbMuBuAy@i@{@i@sBwA}@i@w@i@{BwAcAq@_Ao@cC_Bw@i@eAq@{ByA{ByAyByA{ByA{ByAcAq@u@g@cCaBs@c@}@m@sA{@s@e@eC_ByByA{ByA{ByA{ByA{B{A{BwAcCaBgCaB,183
3,40.757907,-73.9893022,40.7601364,-73.9945873,}owwFb`rbMmFvPoEhN,183
4,40.7485567,-73.9881454,40.7460459,-73.9886244,ouuwF|xqbMt@Jb@DpBVd@DZBNBJ@v@HrCX,183
4,40.7460459,-73.9886244,40.7502703,-73.9986404,yeuwFz{qbMwB`HoFvPoFvPsF`Q,183
4,40.7502703,-73.9986404,40.7440493,-74.003174,e`vwFnzsbMbAl@x@h@nBpADDv@f@fAv@|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvA,183
4,40.7440493,-74.003174,40.7452343,-74.0059515,iytwFxvtbMkFjP,183
4,40.7452343,-74.0059515,40.7458183,-74.0055308,u`uwFdhubMgBiAMI,183
4,40.7458183,-74.0055308,40.7467433,-74.0077573,kduwFpeubMY~@KZCHENgCfI,183
5,40.751487,-73.9779752,40.7520594,-73.9775568,ygvwFjyobMwAaAYQ,183
5,40.7520594,-73.9775568,40.7572276,-73.989793,kkvwFvvobMIT?@CHELIVMZ[|@mAvDiC~Hg@`Ba@nAu@bCM\EPq@tB_@hAEPWr@IXUx@kDtKi@dBEHiFlP,183
5,40.7572276,-73.989793,40.7591625,-73.988378,ukwwFdcrbMgCaB}B}A{ByA,183
5,40.7591625,-73.988378,40.7592628,-73.9886172,wwwwFjzqbMSn@,183
6,40.7518788,-73.9776889,40.7520594,-73.9775568,gjvwFpwobMIGYQ,183
6,40.7520594,-73.9775568,40.752809,-73.9792881,kkvwFvvobMIT?@CHELIVMZ[|@mAvD,183
6,40.752809,-73.9792881,40.7597432,-73.974223,apvwFpapbMuA_Ao@c@yB}AmAu@q@c@{ByA}B{A}B{A{B{A}ByA}B{A}ByA{B{A,183
6,40.7597432,-73.974223,40.7596702,-73.9740536,k{wwFzaobMLa@,183
7,40.7518788,-73.9776889,40.7520594,-73.9775568,gjvwFpwobMIGYQ,183
