orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7496759,-74.0029813,40.748414,-73.9999965,o|uwFrutbMNc@rBsG`@oAvAkE,48
0,40.748414,-73.9999965,40.7422112,-74.0045232,qtuwF~btbM|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvAn@^bAr@rBtAr@f@bAl@NL,48
0,40.7422112,-74.0045232,40.7416627,-74.0049708,ymtwFf_ubMXZBBVP`@VTN,48
0,40.7416627,-74.0049708,40.7431247,-74.008466,kjtwF`bubMIVeBlFEN{A|EWr@Kb@m@nB,48
0,40.7431247,-74.008466,40.7435057,-74.0088777,ostwF|wubMMCMDIJWb@ILADABAF,48
0,40.7435057,-74.0088777,40.7189478,-74.0127723,}utwFnzubMTB~@HXDD?D@DAF@H?J@|APbFn@RDLBPDL@LBHBHBHDJDHFJHJJJJJHHFHFJFFBDBB@D?B?D?D@D?DBHDLFPFPFNFJBH@LBPBNBP@P@P?R?P?NCf@AtAIp@CLAN@^?nGTv@Fr@Hb@BZ@v@DTA^AZ@f@@n@DZ?B?ZBh@Dn@@b@BZB\D`@Fv@B~@DtB@f@BbBHN@dDNJ@L@H?JBJBLB`@BR@j@@N?PAL?L?|DTbG`@l@FT@T@N?L?^Dh@Dv@JjCVb@F|APhDb@zAPf@DtGz@D@LBLDLBJBNBn@JnB\H@F@T@T@LBTDVBVD,48
0,40.7189478,-74.0127723,40.7190314,-74.0122121,m|owFxrvbMB_@Ds@@M?A?CCAWE,48
0,40.7190314,-74.0122121,40.7188044,-74.0103514,}|owFhovbMN}B\uF,48
0,40.7188044,-74.0103514,40.7174592,-74.0106382,o{owFtcvbMbALbANbCZ,48
0,40.7174592,-74.0106382,40.7174361,-74.0104675,csowFnevbMBa@,48
1,40.7496759,-74.0029813,40.748414,-73.9999965,o|uwFrutbMNc@rBsG`@oAvAkE,48
1,40.748414,-73.9999965,40.7422112,-74.0045232,qtuwF~btbM|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvAn@^bAr@rBtAr@f@bAl@NL,48
1,40.7422112,-74.0045232,40.74085,-74.0051793,ymtwFf_ubM^NtAt@`@V\NHBn@F^H,48
1,40.74085,-74.0051793,40.7368739,-74.0055605,ietwFjcubMbDXzBVbCTxBRdBNN@|@DH@F?B?DAFADCDEBCTW,48
1,40.7368739,-74.0055605,40.7311235,-74.0029759,mlswFveubMHMDEDEFEDEDCHEv@Od@Ib@I`AO`AQ`AS~@Q`Cc@PELENELGXKNKPM`Bu@vBgANGbBy@t@]`Ae@,48
1,40.7311235,-74.0029759,40.7317702,-74.0011543,ohrwFrutbMaCmJ,48
1,40.7317702,-74.0011543,40.731697,-74.0009667,qlrwFdjtbMLc@,48
1,40.731697,-74.0009667,40.7322944,-74.0005293,clrwF`itbMuBwA,48
1,40.7322944,-74.0005293,40.7321874,-74.0003095,yorwFhftbMRk@,48
2,40.7496759,-74.0029813,40.748414,-73.9999965,o|uwFrutbMNc@rBsG`@oAvAkE,48
2,40.748414,-73.9999965,40.7422112,-74.0045232,qtuwF~btbM|BtA|@j@z@h@r@f@nA|@r@b@nAz@zBxAp@b@bAp@tBvAn@^bAr@rBtAr@f@bAl@NL,48
2,40.7422112,-74.0045232,40.74085,-74.0051793,ymtwFf_ubM^NtAt@`@V\NHBn@F^H,48
2,40.74085,-74.0051793,40.7368739,-74.0055605,ietwFjcubMbDXzBVbCTxBRdBNN@|@DH@F?B?DAFADCDEBCTW,48
