orig_ix,start_lat,start_long,end_lat,end_long,polyline,ride_count
0,40.7246872,-73.9878268,40.7263893,-73.9918712,i`qwF|vqbMkDxK{CrJKX,234
0,40.7263893,-73.9918712,40.7278001,-73.9947628,}jqwFdprbMoD~Iw@rBo@zAAP,234
0,40.7278001,-73.9947628,40.7281735,-73.9956075,wsqwFfbsbMCLCLaAlC,234
0,40.7281735,-73.9956075,40.7267306,-73.9968212,avqwFpgsbMzD~C|@p@d@^,234
1,40.7277367,-73.9856896,40.7275748,-73.9853065,ksqwFpiqbM`@kA,234
1,40.7275748,-73.9853065,40.7355931,-73.9794713,irqwFdgqbMaAo@u@g@sBsA_Am@w@i@aC_BeAq@y@i@[SoBoAWSk@]cAq@WQa@YcAm@QOMGuA_AmAy@MGWQ]UWO_Ao@{AcAYSs@e@aAm@,234
1,40.7355931,-73.9794713,40.7398528,-73.9895645,mdswFtbpbMeEvM_EbMiAnD{@jC_ArCe@|A]jAITyDtL,234
1,40.7398528,-73.9895645,40.7403242,-73.9894316,a_twFvarbMgASUE,234
2,40.7423873,-73.9890976,40.7423132,-73.9890177,}ntwFz~qbMNO,234
2,40.7423132,-73.9890177,40.7313914,-73.9969915,mntwFj~qbMJFdAp@RPr@d@dCdBzBtArBtAtBtAtBrAtBrArBvA|B~AxA~@LH`@VjCfB|BtA~B~AtBxAvBrAtBvAnAz@zA|@,234
2,40.7313914,-73.9969915,40.7321969,-73.998633,ejrwFdpsbMIPwCtH,234
2,40.7321969,-73.998633,40.7310318,-73.999631,gorwFlzsbMPP`BrAtB`B,234
2,40.7310318,-73.999631,40.7302794,-73.9981016,}grwFt`tbMjAuChA{C,234
2,40.7302794,-73.9981016,40.7248576,-74.0026519,gcrwFbwsbMxBhBzFtEvErDVR~ExDtFjE,234
2,40.7248576,-74.0026519,40.7222705,-73.9971417,kaqwFpstbM`AmChAyClAyCfAwCVo@p@uBlAeDjAgD,234
2,40.7222705,-73.9971417,40.7218297,-73.9972693,eqpwFbqsbM\Bx@T,234
3,40.7565623,-73.9979308,40.7564886,-73.9977534,ogwwF`vsbMLc@,234
3,40.7564886,-73.9977534,40.760927,-73.9945205,agwwF|tsbM{BuAKGAAq@c@k@_@QMQKCAAAAAGEMICA?AA?cAo@yB}AgC_BeC_B{B_B,234
3,40.760927,-73.9945205,40.7537166,-73.9774379,ybxwFv`sbMlFuPnF{PlCiIz@oC\iAFQNe@~DeM\kA`FyOl@iBjCcIhAoD,234
3,40.7537166,-73.9774379,40.7531083,-73.9778774,wuvwF~uobMxBvA,234
3,40.7531083,-73.9778774,40.7531647,-73.978014,}qvwFvxobMIX,234
4,40.7545896,-73.9659059,40.7555055,-73.968065,e{vwF|mmbMwDlL,234
4,40.7555055,-73.968065,40.7479276,-73.973612,}`wwFj{mbM|BzA|BxAzBzA~BxA|BvAzBxA|BzA~B~Az@j@fAt@bCbB|BvAtB|A,234
4,40.7479276,-73.973612,40.7478391,-73.9734149,qquwF`~nbMPg@,234
5,40.7467433,-74.0077573,40.7467972,-74.0078871,cjuwFnsubMKX,234
5,40.7467972,-74.0078871,40.7468785,-74.0078775,ojuwFhtubMOA,234
5,40.7468785,-74.0078775,40.746906,-74.0081888,_kuwFftubMA`@CZ,234
